education_level,Count,Percentage
Bachelor,241,25.64
Master,100,10.64
Other,48,5.11
Postgraduate,46,4.89
High School Diploma,22,2.34
GCSE's,15,1.6
MBA,13,1.38
BS/Kinesiology,4,0.43
BS/Business Administration,4,0.43
AA/Business,4,0.43
MD,4,0.43
BS/Marketing,4,0.43
BS/Biology,4,0.43
BBA,4,0.43
Masters Degree,4,0.43
BS/Mechanical Engineering,4,0.43
BA/Political Science,3,0.32
BA/Economics,3,0.32
BS/Chemical Engineering,3,0.32
BS/Computer Science,3,0.32
BA/English,3,0.32
BS/Computer Engineering,3,0.32
MS/Mechanical Engineering,3,0.32
JD/Law,3,0.32
A Levels,3,0.32
BA/Psychology,3,0.32
BS/Civil Engineering,3,0.32
MBA/Business Administration,3,0.32
MD/Medicine,2,0.21
MA/Philosophy,2,0.21
MS/Computer Engineering,2,0.21
MS/Computer Science,2,0.21
MEng Control Engineering,2,0.21
MS/Information Technology,2,0.21
BA/Communications,2,0.21
Pursuing BS/Civil Engineering,2,0.21
BS/Electrical Engineering,2,0.21
BA/Finance,2,0.21
PhD/Physics,2,0.21
MS/Biotechnology,2,0.21
MS/Civil Engineering,2,0.21
MBA/Finance,2,0.21
MS/Organizational Leadership,2,0.21
PhD/Chemical Engineering,2,0.21
BS/Accounting,2,0.21
MPH/Epidemiology,2,0.21
BA/History,2,0.21
BS/Information Systems,2,0.21
BBA/Accounting,2,0.21
BS/Physics,2,0.21
Doctor of Physical Therapy,2,0.21
BS/Economics,2,0.21
BS/Chemistry,2,0.21
Degree in Business Administration,2,0.21
BS/Psychology,2,0.21
Bachelors Degree,2,0.21
A-Levels,2,0.21
BS/Sport Management,2,0.21
BA/Communication Studies,1,0.11
AS/Criminal Justice,1,0.11
MS/Aerospace Engineering,1,0.11
Pursuing MA/Education,1,0.11
BA/Telecommunication,1,0.11
MS/Statistics,1,0.11
BA/Criminal Justice,1,0.11
Bachelor in Marketing,1,0.11
MFA/Music Education,1,0.11
AAS/Human Resources,1,0.11
Pursuing ME/Engine Systems,1,0.11
Pursuing AS/Public Health,1,0.11
AAS/Air Conditioning,1,0.11
BS/Applied Health Science,1,0.11
MA/Lang. and Cult. of SE Asia,1,0.11
MS/Management and Leadership,1,0.11
BBA/Human Resource Management,1,0.11
AA/Diesel Technology,1,0.11
Electrician Apprenticeship,1,0.11
BA/English and American Lit.,1,0.11
MS/Econ. and Bus. Analytics,1,0.11
BA/Economics and History,1,0.11
ME/Space Systems Engineering,1,0.11
BA/Musical Arts,1,0.11
BA/Marketing,1,0.11
Pursuing MS/Physics,1,0.11
Pursuing BS/Business,1,0.11
Pursuing BS/Business Admin.,1,0.11
Pursuing Chiropractic Medicine,1,0.11
BA/Visual Effects,1,0.11
Pursuing PhD/Biochemistry,1,0.11
MA/Accounting,1,0.11
AA/General Studies,1,0.11
PhD/Electrical Engineering,1,0.11
BA/Media Arts and Animation,1,0.11
MA/Forensic Psychology,1,0.11
Pursuing BS/Mech. Engineering,1,0.11
BBA/Mgmt. Information Systems,1,0.11
Pursuing BS/Finance,1,0.11
BBA/Marketing,1,0.11
BS/Advertising,1,0.11
Pursuing BS/Biological Science,1,0.11
Pursuing AAS/Nursing,1,0.11
PhD/Molecular Pathology,1,0.11
