donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies
"Doctor & Baker. always goes out of his way to do the right thing and help others, especially with their health. You might say that’s why he’s so dedicated to earning his degree as a Doctor of Pharmacy (3.99 GPA). Outside of his professional life, he enjoys many fascinating hobbies: learning to play the harmonium, gardening, and classic literature. With wavy, dark hair, this handsome donor also shows he cares by cooking and baking for others — skills he learned from his mother and grandmother.",5'9 (175cm),173 lbs (78kg),Brown,Dark Brown,,Postgraduate,Pharmacy,East Indian,Hindu,,
"Motivated Med Student. is an extroverted guy who loves to meet new people and is always laughing with friends. Standing tall at 6’1”, this donor loves a game of basketball or competing in distance races. In his youth, he was also a skilled wrestler who went undefeated in the ring He’s especially close with his grandmother who has always believed in him. She encouraged him to pursue dual degrees in college, to which he achieved three! He’s now headed to med school to pursue a career in medicine.",6'1 (185cm),165 lbs (75kg),Brown,Black,,Bachelor,"Biological & Biomedical Sciences, Biochemistry, Business, Public Health",Black or African American,Christian,,
"E-Sports Pro. has a wonderful, positive energy that enables him to strike up conversations with anybody and quickly turn that stranger into a friend. Currently pursuing his B.S. in cognitive science, he fills his spare time working as a semi-professional jazz musician and producer and playing E-Sports on the pro circuit. Of Taiwanese/Chinese descent and fluent in both English and Mandarin, this adventurous foodie is also a skilled acrobat and martial artist.",<5'5 (163cm),139 lbs (63kg),Black,Black,,Bachelor,Cognitive Science,Asian,,,
"An Enlightened Man. enjoys self-reflection and analyzing his role is in the world. Striving for a deeper meaning, he explores different religions and philosophers to help to try and explain why human beings act in certain ways. This donor used his Express Yourself to tell a story of how he lacked compassion at one point in time, and how that changed him indefinitely. Enlightened, educated, compassionate, empathetic are all words that can describe this donor. He understands that as human beings we are not perfect, we have faults, but he constantly challenges himself to be better, and in return he makes the world a better place.. Jason Ritter Wil Wheaton",6' (183cm),177 lbs (80kg),Blue,Dark Brown,,Master,"English, Gerontology, Human Resources",Caucasian,Catholic,,
"Future Physician. This cell and molecular bio student is looking forward to attending medical school and a career as a physician. Curious and dedicated as a student with an excellent academic record, his maturity and patience have helped develop him into an even better tutor and teaching assistant. This knowledge-seeker is also an outdoorsman who enjoys hiking and camping—once embarking on a 30 mile backpacking trip with friends. has a variety of talents, as well… He speaks English, Hindi, and Nepali and enjoys doing graphic design and playing cricket.. Aziz Ansari Suriya",5'11 (180cm),168 lbs (76kg),Black,Black,,Postgraduate,"Biology, Molecular and Cell, Medicine, Psychology",Asian,,,
"Dimpled Military Man. For , creativity is everything. First inspired by watching his talented mother doodle, he asked for a sketchbook and the rest was history: high school was a time of creative exploration with AP studio art, auto shop and ballet. Also highly athletic, he played varsity soccer and baseball. Plus, he's driven and disciplined: after doing ROTC in high school, this donor went on to serve in the military. He has full lips, big eyes, and dimples — and he always has a smile on his face!",5'6 (168cm),172 lbs (78kg),Brown,Dark Brown,,Other,Liberal Arts,Hispanic or Latino,Catholic,,
"Dancing Donor. One look at the beautiful, smiling, brown-eyed boy in his childhood photos may be all you need to realize that he's 'the one.' Born in Ecuador but now residing in the United States, is a graduate of an overseas medical school. He is currently working as a postgraduate research fellow while preparing for the US Medical Licensing Exam. A gifted athlete, he especially enjoys basketball, tennis, football, and swimming. Dancing, cooking, and hiking are his favorite ways to relax.",5'9 (175cm),144 lbs (65kg),Brown,Black,,Postgraduate,Medicine,Hispanic or Latino,Catholic,,
"Compassionate Epicure. Standing tall at 6'2"" with striking black eyes and straight black hair, is a blend of confidence and warmth. Growing up, he developed a profound love for food, spending hours cooking with his family—a passion that now fuels his career in hospitality, where he helps open new restaurants. A former state swimming champion and tennis enthusiast, he also enjoys reading, anime, and techno music. Deeply connected to his family, he values empathy and always finds joy in life's small moments.",6'2 (188cm),182 lbs (83kg),Black,Black,,Bachelor,Hospitality Management,Asian,Christian,,
"Trilingual Techie. views life as a gift. He comes from a large family and appreciates the close connections that he has with his relatives and lifelong friends. This MBA grad is grateful to his parents for everything they did for him and is devoted to caring for them. He makes the most out of each day by learning new things and exploring. Fluent in Hindi and Gujarati, he loves listening to songs in those languages. This software engineering manager enjoys building robots and reading, but also likes to stay active playing sports like cricket, golf, soccer, tennis, and doing yoga.. Kunal Nayyar Kumail Nanjiani",5'10 (178cm),189 lbs (86kg),Black,Black,,Master,"Business, Finance, Information Systems and Mgmt",East Indian,Hindu,,
"The Striking Scientist. With full lips, high cheekbones and large, brown eyes, is a certified head-turner. He’s also a successful engineer with a razor-sharp intellect and impressive drive. Coming from an underprivileged background, this Spanish-bilingual donor defied the odds to earn a whopping 4.5 GPA and a master’s degree in sustainability. He’s creative, too, dabbling in hobbies like painting, writing and singing. Despite his brag-worthy accolades, his friends know him as the level-headed peacekeeper of the group.",5'9 (175cm),209 lbs (95kg),Brown,Black,,Master,"Environmental Engineering, Management",Hispanic or Latino,Catholic,,
