donor_image,timestamp,cfg,steps,sampler,seeds,output_files
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:24:53.329052,7.0,25,euler,"1000453084,1268327300,1346270991","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:27:20.852337,7.0,25,euler,"1593634143,16072023,762707054","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:28:52.706270,7.0,25,euler,"572399886,2007121802,1932007258","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:31:16.160270,7.0,25,euler,"61676220,1069336512,770581804","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:35:48.613706,7.0,25,euler,"1923845187,13116783,2042225875","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:43:32.026775,7.0,25,euler,"1180792837,803725986,764603383","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:45:21.791920,7.0,25,euler,"1291922912,1242750096,1330131333","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:54:14.459871,7.0,25,euler,"1456305651,1981142010,1221547970","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T15:59:16.068513,7.0,25,euler,"476278654,693684305,1199336850","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T16:02:22.392474,7.0,25,euler,"2087908520,1649303130,1303602664","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T16:08:33.590499,7.0,25,euler,"1629571326,1199964890,978810284","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T16:19:06.126630,7.0,25,euler,"2103594951,1025833320,95593290","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T21:11:34.163517,7.0,25,euler,"518524182,562097621,595054240","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T21:12:52.101769,7.0,25,euler,"1296888598,226055158,1566456388","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T21:34:24.793548,7.0,25,euler,"249664498,2037492084,1273283663","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
aug_gpt_4_gem_wo.jpeg,2024-11-21T21:40:58.849484,7.0,25,euler,"1208802291,1327753702,1471155051","aug_gpt_4_gem_wo_baby_1.png,aug_gpt_4_gem_wo_baby_2.png,aug_gpt_4_gem_wo_baby_3.png"
